modality_pair,tissue,within_mean,between_mean,delta,n_within,n_between,within_var,between_var
Accessibility | TFChIP,t47d,0.204643614590168,0.06370106822596014,0.14094254636420786,6,6651,0.0046059852326311365,0.001838473351541344
Accessibility | TFChIP,testis,0.13752637969122994,0.0933549368283252,0.04417144286290474,9,7896,0.001659218549987275,0.0018082447296111429
Accessibility | TFChIP,thyroid gland,0.17653837259858846,0.0958754340033009,0.08066293859528756,20,11317,0.006549866610074343,0.0017963090447856832
Accessibility | TFChIP,tibial artery,0.139104463160038,0.09955676000075653,0.039547703159281467,2,4467,0.0013495504162191474,0.002017089445837939
Accessibility | TFChIP,tibial nerve,0.1561513575060027,0.12043705844688145,0.035714299059121254,14,9273,0.0014808482857466485,0.0024578193552396675
Accessibility | TFChIP,transverse colon,0.1914113899692893,0.10282040649420413,0.08859098347508518,48,16896,0.007184271741793931,0.002241501742962334
Accessibility | TFChIP,upper lobe of left lung,0.1113453496447099,0.0888276939435625,0.0225176557011474,42,16685,0.004820461424650275,0.002429281611895087
Accessibility | TFChIP,uterus,0.25725919008255005,0.1278157925514303,0.12944339753111975,4,5045,3.4821732327827704e-05,0.0021502213423726553
Accessibility | TFChIP,vagina,0.12164993894596894,0.10720867387260558,0.014441265073363366,12,8472,0.0005497515793533546,0.0024809650718920287
CAGE | HistoneChIP,bronchial epithelial cell,0.05959741041685144,0.049163492404332286,0.010433918012519153,6,7734,0.001647299379723134,0.0012781785381124323
CAGE | HistoneChIP,hepatocyte,0.020192182952693354,0.043913764676076904,-0.02372158172338355,24,19182,0.0003764487537298017,0.0008125659229041174
CAGE | HistoneChIP,mammary epithelial cell,0.038257033737061324,0.042218760865639304,-0.00396172712857798,34,25542,0.0015658760746106093,0.001028321395852904
CAGE | HistoneChIP,osteoblast,0.039938868419267234,0.04332038908909999,-0.0033815206698327577,20,16638,0.0011340931218986358,0.0009241114817532866
CAGE | RNA,bronchial epithelial cell,0.05262604262679815,0.045242037433044474,0.007384005193753679,4,5522,0.00028753217019760174,0.00033124463071608663
CAGE | RNA,hepatocyte,0.062386684119701385,0.053965235201888985,0.0084214489178124,6,6794,0.000509350746092911,0.0007032086349254311
CAGE | RNA,mammary epithelial cell,0.06078010564669967,0.05665557577457593,0.004124529872123736,16,13154,0.00032598478284476956,0.000511343336207754
CAGE | RNA,osteoblast,0.043720792979002,0.04606399490285794,-0.0023432019238559393,4,5522,0.00028316275182921173,0.00038700312488529646
CAGE | TFChIP,hepatocyte,0.0216691754758358,0.03959741509640281,-0.017928239620567013,6,7482,5.850430717209301e-05,0.00032714667384347337
CAGE | TFChIP,mammary epithelial cell,0.02861874899826944,0.04561198689852665,-0.01699323790025721,4,6210,0.0001672060637018726,0.0005223082331380553
HistoneChIP | RNA,a549,0.09156510345593023,0.05599850916446172,0.035566594291468516,104,34821,0.0021516135751352902,0.0010075910275715665
HistoneChIP | RNA,a673,0.13504498118224242,0.06963326098321451,0.06541172019902791,12,12828,0.008310305447058863,0.001908931316648775
HistoneChIP | RNA,adipose tissue,0.062354608438909054,0.062323335676112174,3.127276279688007e-05,8,17145,0.0003779045922739739,0.0012037171780871696
HistoneChIP | RNA,adrenal gland,0.07002151750670496,0.05366506988131038,0.01635644762539458,672,87364,0.001615005175605859,0.0009602693506730472
HistoneChIP | RNA,ag04450,0.02916436142004386,0.03921398537296051,-0.010049623952916649,8,9858,0.000756854561907021,0.0007155982879993531
HistoneChIP | RNA,amnion,0.08223711965709096,0.06026794813095703,0.02196917152613393,36,20616,0.0014846688656941524,0.0009670108379641186
HistoneChIP | RNA,aorta,0.05125276684173679,0.04761732924570725,0.0036354375960295365,88,31875,0.001176083181579495,0.0007687478415549214
HistoneChIP | RNA,ascending aorta,0.06763221247291024,0.05994456416615232,0.007687648306757916,22,20253,0.001351961014119601,0.001005949627980333
HistoneChIP | RNA,astrocyte,0.0983787183649838,0.06636948240335772,0.03200923596162608,16,13760,0.0003470769283507487,0.0009275711857098879
HistoneChIP | RNA,b cell,0.060312721162474534,0.04659206258500843,0.013720658577466106,42,35103,0.0015451024741179814,0.0007220747960946907
HistoneChIP | RNA,be2c,0.16746924817562103,0.08048024030088807,0.08698900787473296,1,3446,0.0,0.0010198269408843918
HistoneChIP | RNA,bipolar neuron,0.09615947562866868,0.054318035224472094,0.041841440404196586,39,25156,0.003865458612190339,0.0010533046527814527
HistoneChIP | RNA,bj,0.06674678375323613,0.05468853697422988,0.01205824677900625,6,8373,0.0006380079608904136,0.0007472766361929558
HistoneChIP | RNA,body of pancreas,0.07480501537793316,0.05354276892013463,0.021262246457798527,64,31532,0.001326586996023337,0.0007715234611132562
HistoneChIP | RNA,brain,0.044822592245922846,0.044796288193504494,2.630405241835221e-05,55,26064,0.00047829282898343177,0.0007710213376149952
HistoneChIP | RNA,breast epithelium,0.07135612778883013,0.05919118721653003,0.012164940572300102,36,20616,0.0013139853420256102,0.000985218952553968
HistoneChIP | RNA,bronchial epithelial cell,0.0519073906665047,0.04919415036001963,0.002713240306485072,6,8373,0.0022020601418534613,0.0008090617410583031
HistoneChIP | RNA,caco-2,0.092634208034724,0.056495651619637564,0.03613855641508643,6,8373,0.003445280280807969,0.0008085208348706345
HistoneChIP | RNA,cardiac muscle cell,0.09094670435836262,0.062465345343134325,0.028481359015228296,27,19224,0.004322741206069505,0.0012522295490793138
HistoneChIP | RNA,cd14-positive monocyte,0.06999722368410029,0.04615230638585964,0.023844917298240648,136,40713,0.003870331084199633,0.0007555918065819539
HistoneChIP | RNA,"cd4-positive, alpha-beta memory t cell",0.039993773683575755,0.04008653052396184,-9.27568403860865e-05,120,37218,0.0024681668695812906,0.0009120933309950212
HistoneChIP | RNA,"cd4-positive, alpha-beta t cell",0.05786055182977213,0.04323532969781248,0.014625222131959652,108,38340,0.0027464115867326397,0.0010534777962827573
HistoneChIP | RNA,"cd4-positive, cd25-positive, alpha-beta regulatory t cell",0.03596986688207835,0.03820500559680049,-0.00223513871472214,60,26524,0.0033507673109027195,0.001018641027384145
HistoneChIP | RNA,"cd8-positive, alpha-beta memory t cell",0.048182301324171325,0.04299545940466416,0.0051868419195071624,60,28404,0.001626641378033844,0.000830795880631105
HistoneChIP | RNA,"cd8-positive, alpha-beta t cell",0.05174001540198285,0.043140507395066925,0.008599508006915925,114,39817,0.0017480508153540032,0.0008265927224100783
HistoneChIP | RNA,cerebellum,0.028164198622107506,0.04264334816947762,-0.014479149547370111,4,9317,4.907013410786545e-06,0.0005779265760502718
HistoneChIP | RNA,chorion,0.05635276921320838,0.05405476140675885,0.00229800780644953,80,30402,0.0012360865820224935,0.0008065922483216034
HistoneChIP | RNA,chorionic villus,0.0417327938712333,0.04810097012739647,-0.00636817625616317,144,47202,0.001052547802866529,0.0008315956983314123
HistoneChIP | RNA,colonic mucosa,0.06003176092885302,0.05051492863356907,0.009516832295283946,56,28570,0.0018306720759324194,0.0008331671852495155
