tissue,m1,m2,delta,n_within,pair
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:CTCF,0.0040581622057490885,3.0,ChIP-seq:CTCF x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,DNase-seq,-0.02244403593617828,1.0,ChIP-seq:H3K79me2 x DNase-seq
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H2AFZ,-0.06854724138975143,1.0,ChIP-seq:H2AFZ x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K27me3,-0.006323872224950209,1.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K4me1,0.230098581503308,1.0,ChIP-seq:H3K4me1 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K4me2,0.17412181657094222,1.0,ChIP-seq:H3K4me2 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K4me3,0.16594859408621335,3.0,ChIP-seq:H3K4me3 x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K9ac,0.178460806287745,1.0,ChIP-seq:H3K79me2 x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H3K9me3,0.04262158062667527,1.0,ChIP-seq:H3K79me2 x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:H4K20me1,0.0987536140850612,1.0,ChIP-seq:H3K79me2 x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:GABPA,0.010818782177838413,1.0,ChIP-seq:GABPA x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:JUND,-0.0016264657561595626,1.0,ChIP-seq:H3K79me2 x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:MYC,-0.011486242711544036,1.0,ChIP-seq:H3K79me2 x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:POLR2A,0.04309547876382803,2.0,ChIP-seq:H3K79me2 x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:RAD21,0.005136143129605513,1.0,ChIP-seq:H3K79me2 x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:REST,0.032289317563960425,2.0,ChIP-seq:H3K79me2 x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K79me2,ChIP-seq:TAF1,0.036606498062610626,1.0,ChIP-seq:H3K79me2 x ChIP-seq:TAF1
